order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,total_amount,payment_method,shipping_region,customer_segment,discount_applied,returned
ORD-00185,CLI-0091,2025-09-30,electronics,SSD 1TB,4,239.76,959.04,paypal,norte,returning,0.15,0
ORD-01523,CLI-0371,2025-07-07,food,Aceite oliva,5,113.41,567.05,bank_transfer,este,new,0,0
ORD-01639,CLI-0311,2025-08-30,home,Organizador,5,101.49,507.45,bank_transfer,oeste,returning,0.3,0
ORD-00518,CLI-0138,2025-09-19,food,Aceite oliva,4,94.96,379.84,bank_transfer,norte,new,0.05,0
ORD-00521,CLI-0421,2025-08-17,food,Miel artesanal,2,6.6,13.2,bank_transfer,oeste,returning,0,0
ORD-00504,CLI-0326,2025-07-21,food,Frutos secos,5,110.78,553.9,bank_transfer,oeste,returning,0.05,0
ORD-01544,CLI-0059,2025-07-15,electronics,Cargador USB-C,3,497.76,1493.28,credit_card,oeste,returning,0,1
ORD-01627,CLI-0117,2025-09-03,clothing,Chaqueta,4,84.57,338.28,bank_transfer,norte,vip,0.3,0
ORD-01092,CLI-0124,2025-09-02,beauty,Champú natural,5,87.93,439.65,paypal,sur,new,0.15,0
ORD-00685,CLI-0220,2025-08-30,clothing,Pantalón chino,5,19.24,96.2,paypal,norte,vip,0.3,1
ORD-00377,CLI-0263,2025-08-30,beauty,Protector solar,5,50.18,250.9,bank_transfer,oeste,vip,0.1,0
ORD-00934,CLI-0250,2025-08-13,beauty,Perfume,2,105.76,211.52,credit_card,este,new,0.15,0
ORD-00651,CLI-0158,2025-09-13,food,Té matcha,5,27.96,139.8,paypal,oeste,returning,0.1,0
ORD-01675,CLI-0392,2025-07-02,home,Espejo,4,72.07,288.28,bank_transfer,este,new,0.3,0
ORD-00177,CLI-0475,2025-07-14,home,Lámpara LED,1,148.01,148.01,credit_card,este,new,0.2,0
ORD-01206,CLI-0102,2025-09-10,electronics,Auriculares BT,4,225.84,903.36,bank_transfer,sur,new,0,0
ORD-01660,CLI-0221,2025-09-12,electronics,Teclado mecánico,1,3229.73,3229.73,paypal,este,vip,0,0
ORD-01732,CLI-0095,2025-08-03,clothing,Zapatillas running,5,118.36,591.8,bank_transfer,norte,vip,0.2,0
